O,1,3106883.802,1.7521961997E7
M,1,3106210.068,1.7521662516E7
O,2,3106804.254,1.7522751042E7
O,3,3107296.248,1.7523442355E7
O,4,3108691.787,1.7523425309E7
M,2,3110545.249,1.7525910709E7
N,1,3093078.878,1.7517093467E7
K,1,3093190.283,1.7516053631E7
N,2,3093117.667,1.7515849362E7
N,3,3094004.341,1.751473571E7
N,4,3094150.919,1.7515733789E7
K,2,3094440.934,1.7516881041E7
N,5,3093983.726,1.7514238751E7
N,6,3093435.732,1.7517236176E7
K,3,3094303.186,1.7515690428E7
K,4,3095235.075,1.7516222869E7
K,5,3095660.291,1.7516131806E7
N,7,3094939.38,1.7514044528E7
K,6,3095487.477,1.7518574689E7
N,8,3095343.291,1.7517352614E7
N,9,3093748.031,1.7517901605E7
K,7,3095335.223,1.7519616775E7
N,10,3095838.452,1.7513519314E7
K,8,3095110.262,1.7518170053E7
N,11,3095732.093,1.7523273526E7
K,9,3095413.082,1.7522028229E7
K,10,3095568.545,1.7519779371E7
N,12,3095580.339,1.7513490624E7
N,13,3095475.228,1.7514870684E7
K,11,3095314.08,1.7521095543E7
N,14,3095929.333,1.7513823651E7
N,15,3095775.899,1.7517282927E7
K,12,3095832.501,1.7517222489E7
K,13,3096536.258,1.7524045806E7
K,14,3095728.813,1.7518420584E7
K,15,3095640.728,1.7516027755E7
N,16,3095078.348,1.7515158203E7
K,16,3096581.917,1.7519725043E7
K,17,3095548.581,1.7515648179E7
K,18,3095539.542,1.7522202161E7
K,19,3096717.658,1.7522579733E7
K,20,3096870.276,1.7520591306E7
N,17,3096772.521,1.7513485402E7
K,21,3096701.948,1.7521507588E7
K,22,3096978.844,1.7515073361E7
N,18,3097428.825,1.7514819905E7
K,23,3097659.87,1.7520434447E7
N,19,3097825.621,1.751436314E7
N,20,3097665.204,1.7512647269E7
K,24,3096684.298,1.7517450999E7
K,25,3096699.347,1.7518629354E7
L,1,3097755.781,1.7523562285E7
K,26,3097348.469,1.7520524688E7
K,27,3097384.087,1.7520369287E7
K,28,3097832.914,1.7518221034E7
K,29,3097577.118,1.7516933049E7
K,30,3097417.904,1.7521440027E7
K,31,3097725.816,1.7517137321E7
K,32,3097455.085,1.7522346902E7
N,21,3097311.967,1.7513904404E7
K,33,3097397.695,1.7521813074E7
K,34,3096950.034,1.751672944E7
L,2,3096903.611,1.7522807742E7
K,35,3097938.781,1.7520106283E7
K,36,3097245.731,1.7515790092E7
K,37,3097885.406,1.7515215719E7
K,38,3098371.683,1.75131889E7
L,3,3098587.843,1.7521545983E7
K,39,3098404.699,1.751427141E7
N,22,3096990.252,1.7512483134E7
L,4,3098542.492,1.751729078E7
K,40,3098643.379,1.7520218412E7
K,41,3098707.446,1.7520573101E7
L,5,3099019.877,1.7516059388E7
L,6,3099476.642,1.7522927008E7
N,23,3099461.811,1.7514108311E7
L,7,3098717.713,1.7522397917E7
N,24,3098871.815,1.7514000961E7
K,42,3098551.25,1.7515805581E7
L,8,3098799.59,1.7520577503E7
L,9,3099425.455,1.751665824E7
L,10,3099198.942,1.7517441263E7
L,11,3099126.708,1.7521162382E7
L,12,3099016.695,1.751867101E7
O,5,3099538.739,1.7529817336E7
K,43,3099352.594,1.751573993E7
Q,1,3098616.533,1.7518933175E7
N,25,3099906.819,1.7514672639E7
L,13,3098868.382,1.7518993013E7
M,3,3099994.759,1.7531339525E7
K,44,3100067.548,1.7516364519E7
Q,2,3099926.568,1.7519399512E7
L,14,3100299.26,1.751675618E7
M,4,3100658.073,1.752707359E7
M,5,3100508.307,1.753058529E7
M,6,3100542.298,1.7531780942E7
Q,3,3100167.257,1.7520609698E7
Q,4,3100649.553,1.7520204039E7
M,7,3100928.462,1.7529047027E7
M,8,3101220.273,1.7518285913E7
K,45,3101062.437,1.7516245642E7
Q,5,3100532.261,1.7518268148E7
O,6,3101547.236,1.7526219943E7
Q,6,3101470.38,1.7520325524E7
P,1,3100428.605,1.7532736708E7
Q,7,3101449.468,1.7519606407E7
P,2,3101268.085,1.7531843851E7
K,46,3101034.08,1.7515580929E7
P,3,3101586.708,1.7539343711E7
M,9,3100810.248,1.7529247314E7
M,10,3100569.676,1.7521325153E7
L,15,3101255.194,1.7517044643E7
P,4,3100774.985,1.7527319251E7
Q,8,3100742.055,1.7519466606E7
P,5,3100777.133,1.7533674125E7
O,7,3100927.526,1.7528427799E7
O,8,3101216.288,1.7526634768E7
P,6,3101800.089,1.7529513019E7
Q,9,3101261.384,1.7520150469E7
O,9,3101320.511,1.752688463E7
M,11,3100885.007,1.7518198092E7
L,16,3100918.92,1.7516481313E7
M,12,3101395.566,1.7531417011E7
M,13,3101229.859,1.7532357563E7
O,10,3100950.331,1.7530216991E7
Q,10,3101543.245,1.7519212465E7
M,14,3101734.328,1.7518176215E7
M,15,3102360.782,1.7528735149E7
L,17,3101596.89,1.7516445018E7
O,11,3101848.688,1.7525477856E7
Q,11,3101635.699,1.7531203446E7
Q,12,3101917.49,1.7519832355E7
M,16,3101963.831,1.7533381376E7
P,7,3101942.837,1.7533722518E7
M,17,3102490.513,1.7521115566E7
M,18,3101297.559,1.7522358141E7
Q,13,3102182.868,1.7531794541E7
L,18,3102646.864,1.7516850118E7
M,19,3102071.433,1.7521887453E7
M,20,3102540.526,1.7533136771E7
K,47,3101579.186,1.7549696641E7
M,21,3103208.429,1.7528171591E7
M,22,3102705.882,1.7519100857E7
P,8,3103040.873,1.7529290027E7
Q,14,3102573.533,1.7519713666E7
M,23,3102506.869,1.7530269858E7
Q,15,3102801.875,1.7520470648E7
Q,16,3102768.105,1.753145338E7
M,24,3103234.326,1.7529990006E7
N,26,3101647.749,1.7549579483E7
M,25,3102417.835,1.7533245826E7
M,26,3102267.261,1.7519962E7
K,48,3102224.378,1.7515871075E7
M,27,3102846.75,1.7527797156E7
Q,17,3103354.474,1.7532371278E7
M,28,3102783.316,1.7527868527E7
M,29,3102846.31,1.753096275E7
L,19,3102314.024,1.7517755985E7
M,30,3102656.699,1.7528938323E7
L,20,3102615.381,1.7537972635E7
Q,18,3102848.12,1.7533090746E7
K,49,3103339.689,1.7547943578E7
M,31,3102278.273,1.7530084972E7
M,32,3103363.905,1.7528022058E7
M,33,3102915.357,1.7530064679E7
O,12,3103455.13,1.7521639543E7
K,50,3103073.604,1.7548860315E7
L,21,3102859.174,1.7516690852E7
K,51,3102953.883,1.7549337361E7
L,22,3103198.786,1.7548372677E7
M,34,3103359.486,1.7520027905E7
M,35,3103612.431,1.7529313049E7
M,36,3103454.484,1.7533987831E7
M,37,3102464.026,1.752247775E7
P,9,3103789.822,1.7530350134E7
O,13,3103986.459,1.7522332915E7
M,38,3103569.834,1.7543120107E7
M,39,3103874.966,1.7528831022E7
M,40,3103268.364,1.7519597218E7
L,23,3103818.336,1.7536881876E7
P,10,3103815.715,1.7525225378E7
M,41,3104228.262,1.7527939464E7
L,24,3103833.147,1.7538450579E7
P,11,3103979.601,1.7533772882E7
L,25,3103735.203,1.7543774118E7
N,27,3103302.148,1.7538321609E7
L,26,3103673.542,1.751728582E7
Q,19,3103922.59,1.7533643368E7
M,42,3103793.696,1.7531389949E7
O,14,3104495.786,1.7524287652E7
P,12,3104623.952,1.7531531508E7
K,52,3104265.586,1.7550237561E7
P,13,3104238.793,1.7531882901E7
L,27,3104243.108,1.7541802629E7
L,28,3104581.317,1.7548540941E7
L,29,3104916.636,1.7543104245E7
M,43,3104303.893,1.751926387E7
Q,20,3104659.022,1.7532864796E7
L,30,3104436.109,1.7540111388E7
M,44,3104732.578,1.7529402912E7
M,45,3105079.835,1.752307982E7
M,46,3104997.926,1.7517430125E7
K,53,3104904.184,1.7549135676E7
L,31,3105098.711,1.7546430412E7
